file_id,year,found_terms,fragment
1668_Gent_Bill_11,1668,['couranten'],hitte ende droochte folio 143 verso Iedereen wort verwondert ende verstelt als hij weeckelicx d Jitaliaensche brieven ofte couranten hooren Lesen Ofte inde selve en staet altijt eenige mentie gemaeckt vande Doorluchtie Sijngnorijen van Venetien hoe dat
1668_Gent_Bill_12,1668,"['tijdijnghe', 'couranten']",den 17 Maert 1668 soo Cregen wij van Bruijssel de nevensgaende Aditie ende Correctie op de Brieven ende Couranten die aldaer waeren gedruckt waeraf den Inhaut was als volcht Niet Jegenstaende dat de brieven ofte tijdijngen van
1668_Gent_Bill_12,1668,['courant'],ons eenen Corten tijt sal openbaeren Sijn Exellentie den Marquis de Castel Rodrigo heeft bij placcaet vande 14 Courant doen kenbaer maecken dat alle degone die gagie vande Ascienten sijn treckende sonder vuijtnemijnge van persoonen hun sullen
1671_Leeu_Vitr,1671,['couranten'],reysgelt 10 Aen Docter Apotheecker Barbier met scheeren laten ende drancken 10 Aen boecken papier pennen inct ende couranten 25 Aen de armen tien guldens sjaers tis ruim een halve stuiver sdaaghs de Vrouw en mach de
1672_Amst_Wate,1672,"['tijdinge', 'courant']",toen tot Leyden bevond weder na zijn post is gelast te vertrekken en is nevenstaande brief in dese courant van 29 dito in druk publijk door ordre van de Magistraat hier over deselve saak bekent gemaakt maar
1697_Leeu_Vitr,1697,['gazette'],als de Commissarissen tot een besluyt dienaengaende gekomen waren men een dagh soude prefigeren ende tselve door de Gazette bekendt maken op dat alle de Geinteresseerden gesamentlyck mochten by een komen
1697_Leeu_Vitr,1697,['courant'],van de eijgenaers tot gelt te slaen bevelende hunne Excellentien wijders dese tegenwoordige te publiceren ende in de Courant te stellen
1722_Huiz_Lust,1722,['courant'],het is bij desen alsoo dat Ik voor u Lieden niet kan verbergen het geen in de zaterdaagse Courant van 6 Jan 1714 ende daar in uijt Hamburgh van den 2 Jan 1714 wegens een recept om
1722_Huiz_Lust,1722,['courant'],In de amsterdamse donderdaagse Courant van den 18 Jan 1714 daar worden twee recepten in bekent gemaakt die beijde gedruckt te bekoemen sijn
1722_Huiz_Lust,1722,['courant'],en kan oock bij desen aen uE niet verborgen houden het geen Ik in de dijns daagse Amsterdamse Courant van den 30 Jan 1714 en daar in uijt Hamburgh van den 23 Jan 1714 wegens een recept
1722_Huiz_Lust,1722,['courant'],gelesen en Luijt van woort tot woort aldus Hamburg den 23 Jan 1714 Men siet hier hierin onse Courant een advertissement behelsende een geneesmiddel voor de sieckte der Hoornbeesten t welck seer Heijlsaam soude sijn ende daarom
1722_Huiz_Lust,1722,['courant'],sieckte der Hoornbeesten t welck seer Heijlsaam soude sijn ende daarom op ordre van onse regeringh in de Courant is gestelt het selve Luijt aldus Namentlijk Rec Herb
1722_Huiz_Lust,1722,['courant'],niet quaat maar noch wel eenige deugt doen Ja eerwaardige broeder Etz de wijle in deselve dijn daagse Courant uijt den Hage van den 28 Jan 1714 geschreven wort van een placaat rakende de voortsettende besmettelijckheijt der
1722_Huiz_Lust,1722,['courant'],en op den 5 maart soo sterft van hem een koe Waarde broeder alsoo in de dijnsdaagse amsterdamse Courant van den 27 febreuw 1714 en daar in uijt Sgravenhage van den 24 dito een uijtschrijvinge van een
1722_Huiz_Lust,1722,['courant'],conservatie van de diergekogte vrijheijt en onser aller sielen Zaligheijt wij verstaan derhalve Etz In de Zaterdaagse Amsterdamse Courant van den 3 maart 1714 daar in wort bekent gemaakt hoe dat sekere drancken bequaam souden sijn om
1722_Huiz_Lust,1722,"['courant', 'tijdingh']",die hier wederom Ja oock op dese tijt soo sterven veele koijen tot Emenes binnendijck In de Amsterdamse Courant van den 11 Sebtemb 1714 en daarin uijt Basel van den 2 Sebtemb 1714 daar in wort een
1722_Huiz_Lust,1722,"['courant', 'tijdingh']",Ik hier in op dat Ik als Ik tot Amsterdam koem een boeckje magh kopen In de Amsterdamse Courant van den 2 octob 1714 en daar in uijt Londen in Engelant van den 25 sebtemb 1714 wort
1722_Huiz_Lust,1722,"['courant', 'tijdingh']",Ik het niet nodigh om het selve placcaet van woort tot woort alhier uijt te schrijven In de Courant van den 27 octob 1714 en daarin uijt Londen in Engelant van den 19 october 1714 daar worden
1722_Huiz_Lust,1722,"['courant', 'tijdingh']",avont heeft men bij islington 103 gesturven beesten verbrant dit is voor de eerstemaal dat men uijt Engelant tijdingh heeft van het sterven der koebeesten och dat het de Heere onse godt hier bij woude Laten wij
1722_Huiz_Lust,1722,['courant'],Swolse veerman des avonts ontrent 6 uren eenen Willem Westerbergen proffessoir van Harderwijck hij wiert in de amsterdamse Courant van den 20 octob 1712 beschreven ende 50 guld op sijn persoen gestelt die hem vonde ende tot
1724_Oost_Daal,1724,"['courant', 'tijdingh']",gewesene koninghin van Engelandt weduw koningh Jacob de 2 tot St Gearmijn in Vranckrijk gestorve en volgens de courant soude haer gewesene zoon de pretendent hebbe onterft en verklaert oijt door haer te zijn ter werelt gebragt
1735_Dokk_Hesm,1735,['couranten'],Over Dokkum en zyne beroemde mannen zyn goede berigten in de Leeuw Couranten van 2 en 9 Maart in 6 July 1830
1745_Kort_Putt,1745,"['gasetten', 'tijdinghe']",de engelsche ende de staeten van hollant maer de listen van vranckrijck die het selve door de openbare gasetten deden kenbaer maecken waerdoor den cardinael portocarese ende ander spansche ministers jalours sijnde over de scheuringe van de
1747_Utre_Woer,1747,['courant'],Woensdag den 8en kreeg men s morgens de courant van dinsdag omdat de post van dinsdag s morgens s avonds laat eerst aengekomen was
1747_Utre_Woer,1747,['couranten'],Donderdag den 9en kreeg men s morgens de couranten van daags te voren alsoo men een post ten agteren was
1747_Utre_Woer,1747,['couranten'],Men las met verwondering in de Hollandse couranten bijsonderlijk in de Haagse een beschrijving van de jammerlijke staat waerin de stad van Utrecht door het water
1747_Utre_Woer,1747,"['courantier', 'courant']",Den Utrechtsen Duytsen Courantier wedersprak in sijn courant van desen dag seer hartig de onwaerheden in de Haagste sic courant van den
1747_Utre_Woer,1747,"['courantier', 'courant']",Den Utrechtsen Duytsen Courantier wedersprak in sijn courant van desen dag seer hartig de onwaerheden in de Haagste sic courant van den
1747_Utre_Woer,1747,"['courantier', 'courant']",Den Utrechtsen Duytsen Courantier wedersprak in sijn courant van desen dag seer hartig de onwaerheden in de Haagste sic courant van den 10en vermeld omtrent de
1747_Utre_Woer,1747,"['courantier', 'courant']",Utrechtsen Duytsen Courantier wedersprak in sijn courant van desen dag seer hartig de onwaerheden in de Haagste sic courant van den 10en vermeld omtrent de droevige gesteldheyd waerin het land rontom de stad door het water gebragt
1747_Utre_Woer,1747,"['courant', 'courantier']",In de courant van desen dag scheen de Haagse Courantier sigh te willen defenderen tegen den Uytersman doch soo flaauw en
1747_Utre_Woer,1747,"['courant', 'courantier']",In de courant van desen dag scheen de Haagse Courantier sigh te willen defenderen tegen den Uytersman doch soo flaauw en onnosel dat het sig schaamde
1747_Utre_Woer,1747,['courantier'],hondert man gewerkt wierd Het water viel bij continuatie in de Leck en ten platten lande De Utr Courantier dupliceerde
1747_Utre_Woer,1747,['courantier'],Maandag den 20en quam deselve ook op sijn tijd aen De wind woey Zuyd-Oost ten Zuyden De Haagse Courantier had een misse uyt Utrecht waerbij hem gesc
1747_Utre_Woer,1747,['courantier'],wierd dat men reeds genoeg geantwoord hebbende op de brabbeltaal van de Utrechtse Courantier het daerbij laten soude t welk seer onnosel wierd gehouden
1747_Utre_Woer,1747,['couranten'],Men las nu dagelijks in de Couranten dese bekentmaking De heeren Dijkgraaf en Hoogheemraden van den Lec63 kendijck Bovendams sullen op saturdag den 22en April
1748_Berg_Folk,1748,"['courant', 'tijdinge']",bij de Proct stouters verzogt op een sootje Both welk ik aannam over tavel lazen wij de haagse courant als mede de Rotterdamse stonden verbaast over de selver tijdinge verhalende zaken die hier nooyt gedagt waren veel
1748_Berg_Folk,1748,"['courant', 'tijdinge']",ik aannam over tavel lazen wij de haagse courant als mede de Rotterdamse stonden verbaast over de selver tijdinge verhalende zaken die hier nooyt gedagt waren veel minder gebeurt waren zeggende tegens malkanderen wat maakt men t
1748_Berg_Folk,1748,['couranten'],de ondervinding mij Leeraard dat in onze stad zoo grof en groot gelogen word als in zommige hollandse couranten dit nogmaals kan en moet ik met droefhijd mijnes harten betuijgen dat door overvloed de dartelhijd en brooddronkenthijd
1748_Leeu_Vege,1748,['courante'],met alle aendrang ter Staetse vergaderinge te sullen tragten door te drijven welk placaet ook in de Donderd courante wiert gedrukt daer toe mede vi coactus
1748_Leeu_Vege,1748,['couranten'],aen hun commissie gedaen het naderen der militie uit de couranten en particuliere advisen geadverteert releveerde de gemoederen en gaf een lugtje soo dat men can seggen dat men
1748_Leeu_Vege,1748,['courante'],Men had alhier veel oplettentheit om te weten wat uitwerkinge dit aennaderen principael gedivulgeert in een enkele courante op de gemoederen van de Doelisten en van het gemeen hadden vermits de insolentie in den beginne soo
1748_Leeu_Vege,1748,['courant'],was dat van die clausulen afgesien wierd en gemeent alleen te mogen en moeten blijven bij de ordinaris courant om twee Gede
1749_Haar_Barn,1749,['courant'],In de Hollandsche historische courant heeft in een brief uit Carthagena gestaan dat aldaar de 28e Decemb 1743 smorgens ten 5 uuren een
1749_Haar_Barn,1749,['couranten'],men spreekt hier zeer en ook in alle couranten van een brief die de prins op deselve dag dat hij tot stadhouder in Zeeland wierd uitgeroepen aan
1749_Rott_Sche,1749,['couranten'],Delft wat opgehouden en nog in het huis geweest van den Burgemr van Berkel onzen neef hoewel sommige Couranten noemden Berkhout
1749_Rott_Sche,1749,['couranten'],of 14 man waren overgebleven en van een ander onzent even veel 37 Sedert zijn de byzonderheden in couranten enz
